EVENT_ID,STATE_FIPS,CZ_FIPS,WFO,CZ_TIMEZONE,BEGIN_TIMESTAMP,END_TIMESTAMP,DEATHS,INJURIES,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_FIPS,TOR_OTHER_WFO,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,TORNADO_ID
1150254,12,59,TAE,CST-6,1704776580,1704776880,0,0,75000,0,EF0,0.96,100.0,,,4.0,E,PONCE DE LEON,3.0,S,WESTVILLE,30.7121,-85.8679,30.7223,-85.8569,"A tornado touched down along R.M. Ward Road in western Holmes County. The tornado knocked down numerous trees, which caused damage to several structures, including one home and at least one vehicle. The tornado continued northeast before dissipating in a heavily wooded area northeast of Jessie Hall Lane. Damage was consistent with an EF0 tornado with max winds estimated around 80 mph. Thanks to Holmes County Emergency Management for assistance with this survey.",0
1150255,12,5,TAE,CST-6,1704778260,1704778320,0,0,1000,0,EF0,0.23,50.0,,,1.0,SSE,BILTMORE BEACH,0.0,SE,BILTMORE BEACH,30.1322,-85.7452,30.1353,-85.744,A satellite vortex tornado of parent EF3 tornado just to the west made landfall at the western edge of St. Andrews State Park. Only very minor damage to a few tree limbs and an antenna were reported by park management. The tornado was confirmed via videos|on social media. Damage was consistent with an EF0 tornado with max winds estimated at 70 mph.,0
1150256,12,5,TAE,CST-6,1704778260,1704778620,0,0,15350000,0,EF3,5.2,550.0,,,0.0,SW,BILTMORE BEACH,1.0,SW,(PFN)PANAMA CITY ARPT,30.1384,-85.7526,30.1918,-85.6912,"A tornado moved onshore Panama City Beach in the Lower Grand Lagoon area along Spyglass Drive. Significant damage occurred to several homes, including the complete destruction of one beachfront home. The damage at this location was determined to|support an EF-3 rating with max winds estimated at 140 mph. Significant damage to homes and businesses continued as the tornado moved northeast across and along Thomas Drive where two apartment building were heavily damaged. EF-3 damage was again noted at a large boat storage facility which suffered significant structural failure. The tornado continued northeastward across Grand Lagoon and through the Bay Point Golf Club, causing additional damage to homes, before crossing Saint Andrew Bay. The damage in Panama City, after crossing the bay was more sporadic and less intense, supportive of EF-1 intensity. The tornado appears to have dissipated shortly after crossing West 23rd Street. Thanks to Bay County Emergency Management for assistance with the damage survey.",0
1150257,12,5,TAE,CST-6,1704778980,1704779700,0,2,5000000,0,EF2,12.89,600.0,,,1.0,N,LYNN HAVEN,1.0,E,BENNETT,30.2403,-85.6419,30.3861,-85.5071,"The same supercell that spawned the Grand Lagoon tornado dropped another in Lynn Haven where some trees were snapped and one home had some minor roof damage. The tornado then traveled northeast across the eastern portion of North Bay before causing damage in the Resota Beach area on the west shore of Deer Point Lake, destroying one double-wide manufactured home and significantly damaging another. The most significant damage in this area was to a single family home on Joanna Lane where large sections of the roof were removed and the garage was destroyed. This was consistent with EF-2 damage. After crossing Deer Point Lake, the tornado tracked through the Bay Head neighborhood where it caused the most extensive damage. One manufactured home on Magnolia Avenue was ripped from its moorings and tossed against the tree line at the back of the property. Fortunately, the two people inside suffered only minor injuries. A single family home at the intersection of Magnolia and Seminole St. had a large portion of its roof removed. Similar damage occurred to a home on Palm Avenue where substantial tree damage  also occurred. Four homes in the vicinity of Cherokee St. and Deerwood Avenue sustained similar damage. A brick home on Sunshine Drive not only had about half of its roof removed, but also saw collapse of walls on one corner of the house. All of these homes mentioned thus far in Bay Head suffered EF-2 damage, but this last one was the most severely damaged with winds estimated at 130 mph. As the tornado continued northeast, additional roof damage to homes occurred on Indian Bluff Drive, Indian Bluff Road, Piza Circle, and Miller Circle. On CR 2301 near Vickery Lane, one mobile home was shifted off its support blocks with a third of the structure destroyed. Damage northeast of this point became more sporadic and mainly to trees. The tornado appeared to lift as it crossed Mocassin Creek.",0
1150302,13,99,TAE,EST-5,1704793560,1704793860,0,0,326000,0,EF2,4.55,800.0,37,TAE,1.0,W,ROWENA,3.0,NNW,NICHOLASVILLE,31.3785,-84.7285,31.435,-84.689,"The tornado touched down in a heavily wooded area along Daniels road in Early County causing minor damage to trees. The tornado travelled north and intensified as it crossed agricultural fields and Clower Road where it toppled several center pivot irrigation systems. An unreinforced concrete block home was also destroyed along this road in Early county, consistent with an EF-2 rating. EF-2 damage was also noted just to the northeast along Highway 45 where two homes were badly damaged. An older two story home was shifted off its foundation several feet. Another newer brick home suffered significant roof damage. The intensity peaked at this location with an estimated maximum wind speed of 120 mph. Tree damage continued along the track to the northeast across Highway 216 and Nantze Spring Road before the tornado moved into Calhoun County. The tornado continued through wooded portions of Calhoun County, causing EF-1 consistent damage to trees. Damage was also noted to a railroad crossing gate along State Road 82. The tornado continued northeast through Calhoun County across Boggy Creek Road and Highway 37. The tornado crossed Highway 234 causing roof damage to a home before damaging a double-wide manufactured home on County Road 120. The tornado dissipated in a rural area just northeast of Highway 55. Thanks to Early and Calhoun County Emergency Management for assistance with this survey. In Early county, seven buildings were damaged for a total market loss of $326,523.  This consisted of six single family homes and one mobile home.",0
1150309,13,37,TAE,EST-5,1704793860,1704794820,0,0,50000,0,EF1,17.18,800.0,,,2.0,E,ARLINGTON,1.0,NW,OAK HILL,31.435,-84.689,31.6052,-84.4764,"This is a continuation of the EF2 tornado from Early county.  The Calhoun county portion of the track is rated as EF1.  The tornado touched down in a heavily wooded area along Daniels road in Early County causing minor damage to trees. The tornado travelled north and intensified as it crossed agricultural fields and Clower Road where it toppled several center pivot irrigation systems. An unreinforced concrete block home was also destroyed along this road in Early county, consistent with an EF-2 rating. EF-2 damage was also noted just to the northeast along Highway 45 where two homes were badly damaged. An older two story home was shifted off its foundation several feet. Another newer brick home suffered significant roof damage. The intensity peaked at this location with an estimated maximum wind speed of 120 mph. Tree damage continued along the track to the northeast across Highway 216 and Nantze Spring Road before the tornado moved into Calhoun County. The tornado continued through wooded portions of Calhoun County, causing EF-1 consistent damage to trees. Damage was also noted to a railroad crossing gate along State Road 82. The tornado continued northeast through Calhoun County across Boggy Creek Road and Highway 37. The tornado crossed Highway 234 causing roof damage to a home before damaging a double-wide manufactured home on County Road 120. The tornado dissipated in a rural area just northeast of Highway 55. Thanks to Early and Calhoun County Emergency Management for assistance with this survey.",0
1150318,1,69,TAE,CST-6,1704787380,1704788520,1,16,6000000,0,EF2,20.94,1000.0,,,2.0,SSW,MADRID,3.0,S,FARLEY NUCLEAR PLANT,30.998,-85.403,31.1789,-85.1191,"This is a continuation of the Jackson county tornado. The Houston county portion of the tornado is rated EF2 with max winds estimated at 130 mph. This tornado touched down in a swampy area, just east of Holmes Creek in northwest Jackson County. The tornado initially uprooted and snapped several softwood and hardwood trees, along Hickshill Road and in addition, it damaged an outbuilding there. The tornado continued northeast, damaging more hardwood and softwood trees along Piano Road. The first structure to be impacted by this tornado was a double-wide manufactured home on the northern side of Piano Road. Additional softwood and hardwood trees were snapped and uprooted along Danford Bay Road. Tree damage continued along Orchid Road, Damascus Church Road and Layton Road as the tornado continued to progress northeastward. An outbuilding was damaged along Orchid Road, and a single-family home suffered significant roof damage along Layton Road. The tornado then destroyed two ninety foot, seventy-year-old concrete silos. Damage was found along the entire length of Everett Road which was composed of the snapping and uprooting of trees, along with damage to an outbuilding and a mobile home succumbing to window damage. More trees were damaged along Heislar Road and Peanut Road as the tornado continued its northeastward trek. A single-family home on Peanut Road suffered significant roof damage. When the tornado reached Shiloh Church Loop, a single-family home suffered significant roof damage. The tornado continued to move northeast across Highway 2 where more softwood and hardwood trees were uprooted and snapped. Most of the damage to this point is classified as EF-1. Before the tornado crossed into Alabama, it damaged the roof of a small business on US-231. After crossing into Houston County Alabama, the tornado produced a continuous swath of damage on either side of State Line Road all the way towards the city of Cottonwood. This is also consistent of EF-1 damage. The first instance of EF-2 damage was when the tornado approached Cottonwood proper, along Ramer Loop rolling a single-wide mobile home, destroying it, despite it being well strapped.   As the tornado moved through downtown Cottonwood, numerous small businesses sustained damage, ranging from blown out windows, roof damage and in one case the failure of the front-facing brick facade. Additional EF-2 damage occurred when the tornado removed the entire roof of a large two-story home. The tornado continued its northeastward jog, leaving Cottonwood proper, and commenced to destroy a two-story Moose Lodge that was composed of cinder-blocks resulting in another instance of EF-2 damage. The most significant tree damage noted on this survey occurred when the tornado paralleled Dyers Road, thus snapping numerous hardwood and softwood trees. The most significant damage along this northeastward path occurred on September Road where a double-wide home was completely destroyed, and resulted in one fatality. As the tornado continued to move northeast to across Whitaker Road and Creek Church Road, EF-1 tree damage was noted. The tornado caused mainly EF-0 damage to softwood and hardwood trees along Green Frog Road and Ed Tolar Road. One last structural damage occurred to a single-family home where it caused significant roof damage before lifting near the Chattahoochee River. In summary, while most damage was EF-1, there were instances of EF-2 damage with the max wind of 130 mph. In addition to the one fatality, there were also ten direct injuries from the tornado and an additional six indirect injuries during the response phase of the disaster, all in the Cottonwood area. Thanks to Houston County and Jackson County Emergency Management for assistance with this damage survey.",0
1150319,12,63,TAE,CST-6,1704786600,1704787380,0,0,250000,0,EF1,13.82,1000.0,69,TAE,5.0,WNW,RICHTER CROSSROADS,3.0,NW,ELLAVILLE,30.8676,-85.5799,30.998,-85.403,"This tornado started in Jackson county and continued into Houston county. The Jackson county portion of the tornado is rated as an EF1.  The Houston county portion of the tornado is rated EF2 with max winds estimated at 130 mph. This tornado touched down in a swampy area, just east of Holmes Creek in northwest Jackson County. The tornado initially uprooted and snapped several softwood and hardwood trees, along Hickshill Road and in addition, it damaged an outbuilding there. The tornado continued northeast, damaging more hardwood and softwood trees along Piano Road. The first structure to be impacted by this tornado was a double-wide manufactured home on the northern side of Piano Road. Additional softwood and hardwood trees were snapped and uprooted along Danford Bay Road. Tree damage continued along Orchid Road, Damascus Church Road and Layton Road as the tornado continued to progress northeastward. An outbuilding was damaged along Orchid Road, and a single-family home suffered significant roof damage along Layton Road. The tornado then destroyed two ninety foot, seventy-year-old concrete silos. Damage was found along the entire length of Everett Road which was composed of the snapping and uprooting of trees, along with damage to an outbuilding and a mobile home succumbing to window damage. More trees were damaged along Heislar Road and Peanut Road as the tornado continued its northeastward trek. A single-family home on Peanut Road suffered significant roof damage. When the tornado reached Shiloh Church Loop, a single-family home suffered significant roof damage. The tornado continued to move northeast across Highway 2 where more softwood and hardwood trees were uprooted and snapped. Most of the damage to this point is classified as EF-1. Before the tornado crossed into Alabama, it damaged the roof of a small business on US-231. After crossing into Houston County Alabama, the tornado produced a continuous swath of damage on either side of State Line Road all the way towards the city of Cottonwood. This is also consistent of EF-1 damage. The first instance of EF-2 damage was when the tornado approached Cottonwood proper, along Ramer Loop rolling a single-wide mobile home, destroying it, despite it being well strapped. As the tornado moved through downtown Cottonwood, numerous small businesses sustained damage, ranging from blown out windows, roof damage and in one case the failure of the front-facing brick facade. Additional EF-2 damage occurred when the tornado removed the entire roof of a large two-story home. The tornado continued its northeastward jog, leaving Cottonwood proper, and commenced to destroy a two-story Moose Lodge that was composed of cinder-blocks resulting in another instance of EF-2 damage. The most significant tree damage noted on this survey occurred when the tornado paralleled Dyers Road, thus snapping numerous hardwood and softwood trees. The most significant damage along this northeastward path occurred on September Road where a double-wide home was completely destroyed, and resulted in one fatality. As the tornado continued to move northeast to across Whitaker Road and Creek Church Road, EF-1 tree damage was noted. The tornado caused mainly EF-0 damage to softwood and hardwood trees along Green Frog Road and Ed Tolar Road. One last structural damage occurred to a single-family home where it caused significant roof damage before lifting near the Chattahoochee River. In summary, while most damage was EF-1, there were instances of EF-2 damage with the max wind of 130 mph. In addition to the one fatality, there were also ten direct injuries from the tornado and an additional six indirect injuries during the response phase of the disaster, all in the Cottonwood area. Thanks to Houston County and Jackson County Emergency Management for assistance with this damage survey.",0
1150320,12,131,TAE,CST-6,1704783960,1704784020,0,0,50000,0,EF1,0.35,200.0,,,0.0,WNW,DE FUNIAK SPRINGS ARPT,1.0,NNW,DE FUNIAK SPRINGS ARPT,30.7333,-86.1565,30.7375,-86.1533,"A brief tornado touched down at the Defuniak Springs airport, damaging two hangars before crossing U.S. 90. The tornado then damaged the roof of a business, as well as numerous trees in the surrounding area. The damage at the airport and the business was consistent with an EF-1 tornado. Thanks to Walton County Emergency Management for assistance with this damage survey.",0
1150321,12,133,TAE,CST-6,1704787140,1704787200,0,0,0,0,EF0,0.89,50.0,,,3.0,ENE,GILBERTS MILL,4.0,ENE,GILBERTS MILL,30.65,-85.45,30.6537,-85.4357,"A brief EF0 tornado touched down in far eastern Washington county.  The only damage was to trees, and this was coincident with a brief TDS from EVX radar.",0
1150322,12,5,TAE,CST-6,1704787380,1704787500,0,0,75000,0,EF2,0.88,150.0,,,1.0,NE,PARKER,2.0,NE,PARKER,30.1417,-85.5907,30.1449,-85.5765,"A tornado touched down in Callaway near the intersection of South Tyndall Parkway and North Lakewood Drive. The roofs of two homes were heavily damaged in this location, consistent with an EF-2 tornado with max winds estimated at 115 mph. Damage was sporadic along the track as the tornado continued northeast until the roof of another home was removed along Chipewa Street. A manufactured home was also damaged along Chipewa Street. The tornado appears to have dissipated near Cherry Street, where debris from the damaged roof was scattered. Thanks to area media and Emergency Management for assistance with this survey.",0
1150323,12,5,TAE,CST-6,1704780180,1704780660,0,0,0,0,EF0,1.16,450.0,13,TAE,1.0,SSW,BETTS,0.0,ESE,BETTS,30.5135,-85.3949,30.528,-85.385,"This tornado touched down in far northeast Bay county, travelled through far northwest Calhoun county, and ended in Jackson county. The Bay county portion of the tornado is rated EF0. The Calhoun and Jackson county portions of the tornado are rated EF1 with max winds estimated at 90 mph. The tornado began in northeastern Bay county where it touched down in a wooded area between US 231 and NW County road 274 snapping several trees. Multiple trees along NW County road 167 were snapped or uprooted. The track continued to the northeast into Jackson county where it crossed through forested land before crossing Freeman Road. The tornado continued through another wooded area before moving parallel with Grand Mesa Avenue where several trees were uprooted or snapped. The tornado then continued through another wooded area before crossing Varsey Lane where it damaged some small outbuilding sheds as well as snapped a few trees. The tornado continued to track parallel to Varsey Lane to the northeast before snapping tree tops along its path before lifting just beyond Celestial Lane in another wooded area. The tornado reached its maximum width of approximately 450 yards as well as its maximum intensity as it crossed NW county road 167 with the most widespread tree damage observed at this point.",0
1150324,12,13,TAE,CST-6,1704780660,1704780840,0,0,0,0,EF1,3.08,450.0,63,TAE,4.0,WSW,CENTER LAKE,2.0,WNW,CENTER LAKE,30.528,-85.385,30.567,-85.36,"This tornado touched down in far northeast Bay county, travelled through far northwest Calhoun county, and ended in Jackson county. The Bay county portion of the tornado is rated EF0. The Calhoun and Jackson county portions of the tornado are rated EF1 with max winds estimated at 90 mph. The tornado began in northeastern Bay county where it touched down in a wooded area between US 231 and NW County road 274 snapping several trees. Multiple trees along NW County road 167 were snapped or uprooted. The track continued to the northeast into Jackson county where it crossed through forested land before crossing Freeman Road. The tornado continued through another wooded area before moving parallel with Grand Mesa Avenue where several trees were uprooted or snapped. The tornado then continued through another wooded area before crossing Varsey Lane where it damaged some small outbuilding sheds as well as snapped a few trees. The tornado continued to track parallel to Varsey Lane to the northeast before snapping tree tops along its path before lifting just beyond Celestial Lane in another wooded area. The tornado reached its maximum width of approximately 450 yards as well as its maximum intensity as it crossed NW county road 167 with the most widespread tree damage observed at this point.",0
1150325,12,63,TAE,CST-6,1704780840,1704781140,0,0,5000,0,EF1,5.55,450.0,,,2.0,SE,COMPASS LAKE,4.0,ESE,ROUND LAKE,30.567,-85.36,30.6365,-85.3131,"This tornado touched down in far northeast Bay county, travelled through far northwest Calhoun county, and ended in Jackson county. The Bay county portion of the tornado is rated EF0. The Calhoun and Jackson county portions of the tornado are rated EF1 with max winds estimated at 90 mph. The tornado began in northeastern Bay county where it touched down in a wooded area between US 231 and NW County road 274 snapping several trees. Multiple trees along NW County road 167 were snapped or uprooted. The track continued to the northeast into Jackson county where it crossed through forested land before crossing Freeman Road. The tornado continued through another wooded area before moving parallel with Grand Mesa Avenue where several trees were uprooted or snapped. The tornado then continued through another wooded area before crossing Varsey Lane where it damaged some small outbuilding sheds as well as snapped a few trees. The tornado continued to track parallel to Varsey Lane to the northeast before snapping tree tops along its path before lifting just beyond Celestial Lane in another wooded area. The tornado reached its maximum width of approximately 450 yards as well as its maximum intensity as it crossed NW county road 167 with the most widespread tree damage observed at this point.",0
1150330,12,63,TAE,CST-6,1704781500,1704782580,0,7,5000000,0,EF2,16.33,600.0,,,4.0,WNW,SIMSVILLE,1.0,ESE,BASCOM,30.71,-85.2276,30.9152,-85.0912,"The tornado began in an open field that paralleled highway 73 in central Jackson county. The tornado continued to the northeast before crossing Pandora road where it uprooted a couple large pine trees, one of which fell on an older single wide trailer, which was completely destroyed. Another slightly newer single wide trailer had half of its roof peeled back and blown into the woods behind it to the northeast. The tornado continued to the northeast where it crossed Magnolia road. Several trees were uprooted and snapped along the road. A brand new manufactured home had half of its roof blown off. A trailer park along Mark lane had several large trees snapped or uprooted, and a few roofs were peeled back on some of the single wide homes in the subdivision. The tornado then went on to cross I-10 where an 18 wheeler was knocked over. After crossing I-10, the tornado paralleled Spring Creek road where it snapped and uprooted several large hardwood trees as well as peeled back part of the roof of a shed. The tornado continued to the northeast where it crossed U.S. Highway 90 where a majority of the damage and seven injuries occurred in an RV Park and neighborhood. Several mobile homes where significantly damaged or flipped upside down while being displaced several hundred feet. Several large pine trees where snapped at the base as well. In the subdivision just to the northeast of the RV Park on Rooks Drive, two residential family homes had their roofs completely blown off. A church just across the street from the homes off Merritts Mill road had a cinder block outbuilding collapse. The church building sustained some damage to the gable. The tornado continued to the northeast where several homes off of Janette Drive had partial roof damage as well as sporadic tree damage. The tornado continued to the northeast again through a wooded area before moving through Blue Spring subdivision where extensive damage was observed to the roofs and siding of a majority of the homes. Two homes off of Spring Chase Lane had their roofs blown off along with several large mature hardwoods being snapped at their base. The tornado reached its maximum intensity and width through this stretch just beyond U.S. Highway 90. The maximum width is estimated to be around 600 yards. From the Blue Springs Road subdivision, the tornado continued to the northeast parallel to Blue Springs Road where it snapped and uprooted several trees. The tornado continued along Blue Springs road where it damaged the roofs of several single wide manufactured homes.  The tornado continued to the northeast where it collapsed the roof of another church outbuilding along Polar Springs road while also uprooting and snapping several trees on the church property. The tornado crossed Fort road to the northeast of the church where several trees were snapped and uprooted before continuing through a wooded area. The tornado crossed Wintergreen road where a few trees were uprooted along the road, before it dissipated over the field to the northeast of the road.  The tornado was rated EF2 with max winds estimated at 125 mph.",0
1150346,12,73,TAE,EST-5,1704796320,1704796440,0,0,0,0,EF0,0.96,50.0,,,2.0,ENE,BLOXHAM,3.0,ENE,BLOXHAM,30.3879,-84.5895,30.397,-84.5773,"A brief tornado touched touch along Bloxham Cutoff, damaging several trees. The tornado moved into a wooded area south of Blountstown highway where it dissipated. No other damage was found. The tree damage was consistent with an EF0 tornado.",0
